13:29:48 509	 start loadBaseParameter
14:59:37 594	3  GrabFrame times:0,result=
14:59:37 599	 5 ImageProcess result=
14:59:37 602	7 finish getImage
14:59:37 796	 1:start getImage
14:59:37 796	 2 getImage times:0
14:59:37 797	3  GrabFrame times:0,result=
14:59:37 802	 5 ImageProcess result=
14:59:37 804	7 finish getImage
14:59:37 805	 1:start getImage
14:59:37 806	 2 getImage times:0
14:59:37 833	3  GrabFrame times:0,result=
14:59:37 838	 5 ImageProcess result=
14:59:37 841	7 finish getImage
14:59:38 045	 1:start getImage
14:59:38 045	 2 getImage times:0
14:59:38 046	3  GrabFrame times:0,result=
14:59:38 051	 5 ImageProcess result=
14:59:38 054	7 finish getImage
14:59:38 056	 1:start getImage
14:59:38 056	 2 getImage times:0
14:59:38 074	3  GrabFrame times:0,result=
14:59:38 078	 5 ImageProcess result=
14:59:38 082	7 finish getImage
14:59:38 292	 1:start getImage
14:59:38 299	 2 getImage times:0
14:59:38 303	3  GrabFrame times:0,result=
14:59:38 318	 5 ImageProcess result=
14:59:38 322	7 finish getImage
14:59:38 324	 1:start getImage
14:59:38 324	 2 getImage times:0
14:59:38 325	3  GrabFrame times:0,result=
14:59:38 329	 5 ImageProcess result=
14:59:38 332	7 finish getImage
14:59:38 538	 1:start getImage
14:59:38 538	 2 getImage times:0
14:59:38 539	3  GrabFrame times:0,result=
14:59:38 544	 5 ImageProcess result=
14:59:38 547	7 finish getImage
14:59:38 549	 1:start getImage
14:59:38 549	 2 getImage times:0
14:59:38 554	3  GrabFrame times:0,result=
14:59:38 559	 5 ImageProcess result=
14:59:38 562	7 finish getImage
14:59:38 764	 1:start getImage
14:59:38 764	 2 getImage times:0
14:59:38 765	3  GrabFrame times:0,result=
14:59:38 772	 5 ImageProcess result=
14:59:38 775	7 finish getImage
14:59:38 778	 1:start getImage
14:59:38 779	 2 getImage times:0
14:59:38 794	3  GrabFrame times:0,result=
14:59:38 799	 5 ImageProcess result=
14:59:38 801	7 finish getImage
14:59:39 009	 1:start getImage
14:59:39 009	 2 getImage times:0
14:59:39 010	3  GrabFrame times:0,result=
14:59:39 015	 5 ImageProcess result=
14:59:39 018	7 finish getImage
14:59:39 020	 1:start getImage
14:59:39 020	 2 getImage times:0
14:59:39 034	3  GrabFrame times:0,result=
14:59:39 039	 5 ImageProcess result=
14:59:39 042	7 finish getImage
14:59:39 245	 1:start getImage
14:59:39 245	 2 getImage times:0
14:59:39 246	3  GrabFrame times:0,result=
14:59:39 251	 5 ImageProcess result=
14:59:39 254	7 finish getImage
14:59:39 256	 1:start getImage
14:59:39 257	 2 getImage times:0
14:59:39 274	3  GrabFrame times:0,result=
14:59:39 279	 5 ImageProcess result=
14:59:39 282	7 finish getImage
14:59:39 481	 1:start getImage
14:59:39 481	 2 getImage times:0
14:59:39 482	3  GrabFrame times:0,result=
14:59:39 487	 5 ImageProcess result=
14:59:39 490	7 finish getImage
14:59:39 492	 1:start getImage
14:59:39 492	 2 getImage times:0
14:59:39 514	3  GrabFrame times:0,result=
14:59:39 519	 5 ImageProcess result=
14:59:39 522	7 finish getImage
14:59:39 734	 1:start getImage
14:59:39 738	 2 getImage times:0
14:59:39 745	3  GrabFrame times:0,result=
14:59:39 756	 5 ImageProcess result=
14:59:39 759	7 finish getImage
14:59:39 761	 1:start getImage
14:59:39 762	 2 getImage times:0
14:59:39 763	3  GrabFrame times:0,result=
14:59:39 767	 5 ImageProcess result=
14:59:39 770	7 finish getImage
14:59:40 022	 1:start getImage
14:59:40 023	 2 getImage times:0
14:59:40 024	3  GrabFrame times:0,result=
14:59:40 028	 5 ImageProcess result=
14:59:40 031	7 finish getImage
14:59:40 033	 1:start getImage
14:59:40 033	 2 getImage times:0
14:59:40 034	3  GrabFrame times:0,result=
14:59:40 038	 5 ImageProcess result=
14:59:40 041	7 finish getImage
14:59:40 238	 1:start getImage
14:59:40 241	 2 getImage times:0
14:59:40 244	3  GrabFrame times:0,result=
14:59:40 259	 5 ImageProcess result=
14:59:40 262	7 finish getImage
14:59:40 264	 1:start getImage
14:59:40 264	 2 getImage times:0
14:59:40 274	3  GrabFrame times:0,result=
14:59:40 279	 5 ImageProcess result=
14:59:40 281	7 finish getImage
14:59:40 477	 1:start getImage
14:59:40 478	 2 getImage times:0
14:59:40 479	3  GrabFrame times:0,result=
14:59:40 483	 5 ImageProcess result=
