00:01:15 740	 2 getImage times:0
00:01:15 741	3  GrabFrame times:0,result=
00:01:15 746	 5 ImageProcess result=
00:01:15 749	7 finish getImage
00:01:15 751	 1:start getImage
00:01:15 751	 2 getImage times:0
00:01:15 762	3  GrabFrame times:0,result=
00:01:15 766	 5 ImageProcess result=
00:01:15 769	7 finish getImage
00:01:16 153	 1:start getImage
00:01:16 154	 2 getImage times:0
00:01:16 155	3  GrabFrame times:0,result=
00:01:16 160	 5 ImageProcess result=
00:01:16 163	7 finish getImage
00:01:16 164	 1:start getImage
00:01:16 165	 2 getImage times:0
00:01:16 166	3  GrabFrame times:0,result=
00:01:16 171	 5 ImageProcess result=
00:01:16 174	7 finish getImage
00:01:16 554	 1:start getImage
00:01:16 555	 2 getImage times:0
00:01:16 556	3  GrabFrame times:0,result=
00:01:16 561	 5 ImageProcess result=
00:01:16 564	7 finish getImage
00:01:16 565	 1:start getImage
00:01:16 566	 2 getImage times:0
00:01:16 567	3  GrabFrame times:0,result=
00:01:16 572	 5 ImageProcess result=
00:01:16 575	7 finish getImage
00:01:16 957	 1:start getImage
00:01:16 958	 2 getImage times:0
00:01:16 959	3  GrabFrame times:0,result=
00:01:16 964	 5 ImageProcess result=
00:01:16 967	7 finish getImage
00:01:16 968	 1:start getImage
00:01:16 969	 2 getImage times:0
00:01:16 970	3  GrabFrame times:0,result=
00:01:16 975	 5 ImageProcess result=
00:01:16 978	7 finish getImage
00:01:17 358	 1:start getImage
00:01:17 359	 2 getImage times:0
00:01:17 360	3  GrabFrame times:0,result=
00:01:17 365	 5 ImageProcess result=
00:01:17 368	7 finish getImage
00:01:17 369	 1:start getImage
00:01:17 370	 2 getImage times:0
00:01:17 371	3  GrabFrame times:0,result=
00:01:17 376	 5 ImageProcess result=
00:01:17 379	7 finish getImage
00:01:17 758	 1:start getImage
00:01:17 759	 2 getImage times:0
00:01:17 760	3  GrabFrame times:0,result=
00:01:17 765	 5 ImageProcess result=
00:01:17 769	7 finish getImage
00:01:17 770	 1:start getImage
00:01:17 771	 2 getImage times:0
00:01:17 773	3  GrabFrame times:0,result=
00:01:17 778	 5 ImageProcess result=
00:01:17 781	7 finish getImage
00:01:18 161	 1:start getImage
00:01:18 162	 2 getImage times:0
00:01:18 163	3  GrabFrame times:0,result=
00:01:18 168	 5 ImageProcess result=
00:01:18 171	7 finish getImage
00:01:18 172	 1:start getImage
00:01:18 173	 2 getImage times:0
00:01:18 202	3  GrabFrame times:0,result=
00:01:18 207	 5 ImageProcess result=
00:01:18 210	7 finish getImage
00:01:18 591	 1:start getImage
00:01:18 592	 2 getImage times:0
00:01:18 593	3  GrabFrame times:0,result=
00:01:18 598	 5 ImageProcess result=
00:01:18 601	7 finish getImage
00:01:18 602	 1:start getImage
00:01:18 603	 2 getImage times:0
00:01:18 604	3  GrabFrame times:0,result=
00:01:18 608	 5 ImageProcess result=
00:01:18 612	7 finish getImage
00:01:18 991	 1:start getImage
00:01:18 992	 2 getImage times:0
00:01:18 993	3  GrabFrame times:0,result=
00:01:18 997	 5 ImageProcess result=
00:01:19 000	7 finish getImage
00:01:19 001	 1:start getImage
00:01:19 002	 2 getImage times:0
00:01:19 003	3  GrabFrame times:0,result=
00:01:19 007	 5 ImageProcess result=
00:01:19 011	7 finish getImage
00:01:19 392	 1:start getImage
00:01:19 393	 2 getImage times:0
00:01:19 394	3  GrabFrame times:0,result=
00:01:19 399	 5 ImageProcess result=
00:01:19 402	7 finish getImage
00:01:19 403	 1:start getImage
00:01:19 404	 2 getImage times:0
00:01:19 405	3  GrabFrame times:0,result=
00:01:19 410	 5 ImageProcess result=
00:01:19 413	7 finish getImage
00:01:19 794	 1:start getImage
00:01:19 795	 2 getImage times:0
00:01:19 796	3  GrabFrame times:0,result=
00:01:19 801	 5 ImageProcess result=
00:01:19 804	7 finish getImage
00:01:19 805	 1:start getImage
00:01:19 806	 2 getImage times:0
00:01:19 807	3  GrabFrame times:0,result=
00:01:19 812	 5 ImageProcess result=
00:01:19 815	7 finish getImage
00:01:20 196	 1:start getImage
00:01:20 197	 2 getImage times:0
00:01:20 198	3  GrabFrame times:0,result=
00:01:20 203	 5 ImageProcess result=
00:01:20 206	7 finish getImage
00:01:20 207	 1:start getImage
00:01:20 208	 2 getImage times:0
00:01:20 209	3  GrabFrame times:0,result=
00:01:20 214	 5 ImageProcess result=
00:01:20 217	7 finish getImage
00:01:20 603	 1:start getImage
00:01:20 604	 2 getImage times:0
00:01:20 605	3  GrabFrame times:0,result=
00:01:20 609	 5 ImageProcess result=
00:01:20 612	7 finish getImage
00:01:20 614	 1:start getImage
00:01:20 615	 2 getImage times:0
00:01:20 642	3  GrabFrame times:0,result=
00:01:20 647	 5 ImageProcess result=
00:01:20 650	7 finish getImage
00:01:21 030	 1:start getImage
00:01:21 031	 2 getImage times:0
00:01:21 032	3  GrabFrame times:0,result=
00:01:21 036	 5 ImageProcess result=
00:01:21 039	7 finish getImage
00:01:21 041	 1:start getImage
00:01:21 042	 2 getImage times:0
00:01:21 043	3  GrabFrame times:0,result=
00:01:21 048	 5 ImageProcess result=
00:01:21 051	7 finish getImage
00:01:21 430	 1:start getImage
00:01:21 431	 2 getImage times:0
00:01:21 432	3  GrabFrame times:0,result=
00:01:21 436	 5 ImageProcess result=
00:01:21 440	7 finish getImage
00:01:21 442	 1:start getImage
00:01:21 442	 2 getImage times:0
00:01:21 443	3  GrabFrame times:0,result=
00:01:21 448	 5 ImageProcess result=
00:01:21 451	7 finish getImage
00:01:21 834	 1:start getImage
00:01:21 835	 2 getImage times:0
00:01:21 836	3  GrabFrame times:0,result=
00:01:21 840	 5 ImageProcess result=
00:01:21 843	7 finish getImage
00:01:21 846	 1:start getImage
00:01:21 846	 2 getImage times:0
00:01:21 848	3  GrabFrame times:0,result=
00:01:21 852	 5 ImageProcess result=
00:01:21 855	7 finish getImage
00:01:22 239	 1:start getImage
00:01:22 240	 2 getImage times:0
00:01:22 241	3  GrabFrame times:0,result=
00:01:22 245	 5 ImageProcess result=
00:01:22 248	7 finish getImage
00:01:22 251	 1:start getImage
00:01:22 251	 2 getImage times:0
00:01:22 253	3  GrabFrame times:0,result=
00:01:22 258	 5 ImageProcess result=
00:01:22 261	7 finish getImage
00:01:22 641	 1:start getImage
00:01:22 642	 2 getImage times:0
00:01:22 643	3  GrabFrame times:0,result=
00:01:22 648	 5 ImageProcess result=
00:01:22 655	7 finish getImage
00:01:22 658	 1:start getImage
00:01:22 659	 2 getImage times:0
00:01:22 682	3  GrabFrame times:0,result=
00:01:22 686	 5 ImageProcess result=
00:01:22 689	7 finish getImage
00:01:24 603	 1:start getImage
00:01:24 604	 2 getImage times:0
00:01:24 605	3  GrabFrame times:0,result=
00:01:24 610	 5 ImageProcess result=
00:01:24 613	7 finish getImage
00:01:24 614	 1:start getImage
00:01:24 615	 2 getImage times:0
00:01:24 642	3  GrabFrame times:0,result=
00:01:24 647	 5 ImageProcess result=
00:01:24 650	7 finish getImage
00:01:24 971	 1:start getImage
00:01:24 972	 2 getImage times:0
00:01:24 973	3  GrabFrame times:0,result=
00:01:24 978	 5 ImageProcess result=
00:01:24 981	7 finish getImage
00:01:24 983	 1:start getImage
00:01:24 983	 2 getImage times:0
00:01:25 002	3  GrabFrame times:0,result=
00:01:25 010	 5 ImageProcess result=
00:01:25 013	7 finish getImage
00:01:25 419	 1:start getImage
00:01:25 420	 2 getImage times:0
00:01:25 421	3  GrabFrame times:0,result=
00:01:25 425	 5 ImageProcess result=
00:01:25 429	7 finish getImage
00:01:25 430	 1:start getImage
00:01:25 431	 2 getImage times:0
00:01:25 442	3  GrabFrame times:0,result=
00:01:25 447	 5 ImageProcess result=
00:01:25 450	7 finish getImage
00:01:28 431	start cam_stop 
00:01:28 557	finish cam_stop 
00:01:42 481	 start loadPinDef
00:01:42 484	 finished loadPinDef
00:01:42 488	 start setSN
00:01:42 489	start cam_stop 
00:01:42 601	finish cam_stop 
00:01:43 103	start cam_stop 
00:01:43 215	finish cam_stop 
00:01:43 216	 start Playnew
00:01:43 217	into cam_play:deviceID1 
00:01:43 217	openDevice:deviceID1 
00:01:43 351	开始sensor power:deviceID 1 
00:01:43 644	完成sensor power:deviceID 1 
00:01:43 655	完成Pin set:deviceID 1 
00:01:43 936	完成I2C set:deviceID 1 
00:01:44 058	start InitSensor :deviceID 1 
00:01:44 358	完成 InitSensor  :deviceID 1 
00:01:44 359	set image format  :deviceID 1 
00:01:44 378	start Video :deviceID 1 
00:01:44 386	malloc memory :deviceID 1 
00:01:44 389	 WriteI2C:34,0,998,0 
00:01:44 390	 write I2C 0x998
00:01:45 170	finished play :deviceID 1 
00:01:45 171	 1:start getImage
00:01:45 172	 2 getImage times:0
00:01:45 173	3  GrabFrame times:0,result=
00:01:45 179	 5 ImageProcess result=
00:01:45 182	7 finish getImage
00:01:45 184	 1:start getImage
00:01:45 185	 2 getImage times:0
00:01:45 189	3  GrabFrame times:0,result=
00:01:45 193	 5 ImageProcess result=
00:01:45 196	7 finish getImage
00:01:45 199	 WriteI2C:fc,0,998,100 
00:01:45 200	 write I2C 0x998
00:02:38 890	 1:start getImage
00:02:38 891	 2 getImage times:0
00:02:38 892	3  GrabFrame times:0,result=
00:02:38 897	 5 ImageProcess result=
00:02:38 900	7 finish getImage
00:02:38 902	 1:start getImage
00:02:38 903	 2 getImage times:0
00:02:38 909	3  GrabFrame times:0,result=
00:02:38 913	 5 ImageProcess result=
00:02:38 916	7 finish getImage
00:02:39 702	 1:start getImage
00:02:39 703	 2 getImage times:0
00:02:39 704	3  GrabFrame times:0,result=
00:02:39 709	 5 ImageProcess result=
00:02:39 712	7 finish getImage
00:02:39 714	 1:start getImage
00:02:39 714	 2 getImage times:0
00:02:39 715	3  GrabFrame times:0,result=
00:02:39 720	 5 ImageProcess result=
00:02:39 723	7 finish getImage
00:02:40 510	 1:start getImage
00:02:40 511	 2 getImage times:0
00:02:40 512	3  GrabFrame times:0,result=
00:02:40 517	 5 ImageProcess result=
00:02:40 520	7 finish getImage
00:02:40 522	 1:start getImage
00:02:40 522	 2 getImage times:0
00:02:40 549	3  GrabFrame times:0,result=
00:02:40 553	 5 ImageProcess result=
00:02:40 557	7 finish getImage
00:02:40 977	 1:start getImage
00:02:40 978	 2 getImage times:0
00:02:40 979	3  GrabFrame times:0,result=
00:02:40 984	 5 ImageProcess result=
00:02:40 987	7 finish getImage
00:02:40 988	 1:start getImage
00:02:40 989	 2 getImage times:0
00:02:40 990	3  GrabFrame times:0,result=
00:02:40 995	 5 ImageProcess result=
00:02:40 998	7 finish getImage
00:02:41 416	 1:start getImage
00:02:41 417	 2 getImage times:0
00:02:41 418	3  GrabFrame times:0,result=
00:02:41 423	 5 ImageProcess result=
00:02:41 426	7 finish getImage
00:02:41 427	 1:start getImage
00:02:41 428	 2 getImage times:0
00:02:41 429	3  GrabFrame times:0,result=
00:02:41 434	 5 ImageProcess result=
00:02:41 437	7 finish getImage
00:02:41 856	 1:start getImage
00:02:41 857	 2 getImage times:0
00:02:41 858	3  GrabFrame times:0,result=
00:02:41 863	 5 ImageProcess result=
00:02:41 866	7 finish getImage
00:02:41 867	 1:start getImage
00:02:41 868	 2 getImage times:0
00:02:41 869	3  GrabFrame times:0,result=
00:02:41 873	 5 ImageProcess result=
00:02:41 876	7 finish getImage
00:02:42 293	 1:start getImage
00:02:42 294	 2 getImage times:0
00:02:42 295	3  GrabFrame times:0,result=
00:02:42 300	 5 ImageProcess result=
00:02:42 303	7 finish getImage
00:02:42 304	 1:start getImage
00:02:42 305	 2 getImage times:0
00:02:42 309	3  GrabFrame times:0,result=
00:02:42 313	 5 ImageProcess result=
00:02:42 316	7 finish getImage
00:02:42 732	 1:start getImage
00:02:42 733	 2 getImage times:0
00:02:42 734	3  GrabFrame times:0,result=
00:02:42 739	 5 ImageProcess result=
00:02:42 742	7 finish getImage
00:02:42 744	 1:start getImage
00:02:42 745	 2 getImage times:0
00:02:42 749	3  GrabFrame times:0,result=
00:02:42 754	 5 ImageProcess result=
00:02:42 757	7 finish getImage
00:02:43 173	 1:start getImage
00:02:43 174	 2 getImage times:0
00:02:43 175	3  GrabFrame times:0,result=
00:02:43 179	 5 ImageProcess result=
00:02:43 183	7 finish getImage
00:02:43 185	 1:start getImage
00:02:43 186	 2 getImage times:0
00:02:43 188	3  GrabFrame times:0,result=
00:02:43 193	 5 ImageProcess result=
00:02:43 196	7 finish getImage
00:02:43 614	 1:start getImage
00:02:43 615	 2 getImage times:0
00:02:43 616	3  GrabFrame times:0,result=
00:02:43 620	 5 ImageProcess result=
00:02:43 623	7 finish getImage
00:02:43 626	 1:start getImage
00:02:43 627	 2 getImage times:0
00:02:43 628	3  GrabFrame times:0,result=
00:02:43 633	 5 ImageProcess result=
00:02:43 636	7 finish getImage
00:02:44 055	 1:start getImage
00:02:44 056	 2 getImage times:0
00:02:44 057	3  GrabFrame times:0,result=
