13:43:52 856	 start loadBaseParameter
14:06:58 969	3  GrabFrame times:0,result=
14:06:58 973	 5 ImageProcess result=
14:06:58 976	7 finish getImage
14:06:59 146	 1:start getImage
14:06:59 147	 2 getImage times:0
14:06:59 148	3  GrabFrame times:0,result=
14:06:59 152	 5 ImageProcess result=
14:06:59 155	7 finish getImage
14:06:59 156	 1:start getImage
14:06:59 157	 2 getImage times:0
14:06:59 169	3  GrabFrame times:0,result=
14:06:59 174	 5 ImageProcess result=
14:06:59 176	7 finish getImage
14:06:59 351	 1:start getImage
14:06:59 352	 2 getImage times:0
14:06:59 352	3  GrabFrame times:0,result=
14:06:59 357	 5 ImageProcess result=
14:06:59 360	7 finish getImage
14:06:59 361	 1:start getImage
14:06:59 361	 2 getImage times:0
14:06:59 369	3  GrabFrame times:0,result=
14:06:59 374	 5 ImageProcess result=
14:06:59 377	7 finish getImage
14:06:59 551	 1:start getImage
14:06:59 552	 2 getImage times:0
14:06:59 553	3  GrabFrame times:0,result=
14:06:59 557	 5 ImageProcess result=
14:06:59 560	7 finish getImage
14:06:59 561	 1:start getImage
14:06:59 562	 2 getImage times:0
14:06:59 569	3  GrabFrame times:0,result=
14:06:59 574	 5 ImageProcess result=
14:06:59 577	7 finish getImage
14:06:59 750	 1:start getImage
14:06:59 750	 2 getImage times:0
14:06:59 751	3  GrabFrame times:0,result=
14:06:59 756	 5 ImageProcess result=
14:06:59 759	7 finish getImage
14:06:59 760	 1:start getImage
14:06:59 761	 2 getImage times:0
14:06:59 770	3  GrabFrame times:0,result=
14:06:59 774	 5 ImageProcess result=
14:06:59 777	7 finish getImage
14:06:59 951	 1:start getImage
14:06:59 952	 2 getImage times:0
14:06:59 953	3  GrabFrame times:0,result=
14:06:59 957	 5 ImageProcess result=
14:06:59 960	7 finish getImage
14:06:59 961	 1:start getImage
14:06:59 962	 2 getImage times:0
14:06:59 970	3  GrabFrame times:0,result=
14:06:59 974	 5 ImageProcess result=
14:06:59 977	7 finish getImage
14:07:00 150	 1:start getImage
14:07:00 151	 2 getImage times:0
14:07:00 152	3  GrabFrame times:0,result=
14:07:00 156	 5 ImageProcess result=
14:07:00 159	7 finish getImage
14:07:00 160	 1:start getImage
14:07:00 161	 2 getImage times:0
14:07:00 169	3  GrabFrame times:0,result=
14:07:00 173	 5 ImageProcess result=
14:07:00 176	7 finish getImage
14:07:00 351	 1:start getImage
14:07:00 352	 2 getImage times:0
14:07:00 353	3  GrabFrame times:0,result=
14:07:00 357	 5 ImageProcess result=
14:07:00 360	7 finish getImage
14:07:00 361	 1:start getImage
14:07:00 361	 2 getImage times:0
14:07:00 369	3  GrabFrame times:0,result=
14:07:00 373	 5 ImageProcess result=
14:07:00 376	7 finish getImage
14:07:00 550	 1:start getImage
14:07:00 550	 2 getImage times:0
14:07:00 552	3  GrabFrame times:0,result=
14:07:00 556	 5 ImageProcess result=
14:07:00 559	7 finish getImage
14:07:00 560	 1:start getImage
14:07:00 561	 2 getImage times:0
14:07:00 569	3  GrabFrame times:0,result=
14:07:00 574	 5 ImageProcess result=
14:07:00 576	7 finish getImage
14:07:00 750	 1:start getImage
14:07:00 750	 2 getImage times:0
14:07:00 752	3  GrabFrame times:0,result=
14:07:00 756	 5 ImageProcess result=
14:07:00 759	7 finish getImage
14:07:00 760	 1:start getImage
14:07:00 761	 2 getImage times:0
14:07:00 769	3  GrabFrame times:0,result=
14:07:00 774	 5 ImageProcess result=
14:07:00 776	7 finish getImage
14:07:00 949	 1:start getImage
14:07:00 949	 2 getImage times:0
14:07:00 951	3  GrabFrame times:0,result=
14:07:00 955	 5 ImageProcess result=
14:07:00 958	7 finish getImage
14:07:00 959	 1:start getImage
14:07:00 960	 2 getImage times:0
14:07:00 969	3  GrabFrame times:0,result=
14:07:00 974	 5 ImageProcess result=
14:07:00 976	7 finish getImage
14:07:01 150	 1:start getImage
14:07:01 151	 2 getImage times:0
14:07:01 152	3  GrabFrame times:0,result=
14:07:01 156	 5 ImageProcess result=
14:07:01 159	7 finish getImage
14:07:01 160	 1:start getImage
14:07:01 161	 2 getImage times:0
14:07:01 169	3  GrabFrame times:0,result=
14:07:01 174	 5 ImageProcess result=
14:07:01 176	7 finish getImage
14:07:01 350	 1:start getImage
14:07:01 351	 2 getImage times:0
14:07:01 352	3  GrabFrame times:0,result=
14:07:01 356	 5 ImageProcess result=
14:07:01 359	7 finish getImage
14:07:01 360	 1:start getImage
14:07:01 361	 2 getImage times:0
14:07:01 369	3  GrabFrame times:0,result=
14:07:01 374	 5 ImageProcess result=
14:07:01 377	7 finish getImage
14:07:01 551	 1:start getImage
14:07:01 552	 2 getImage times:0
14:07:01 553	3  GrabFrame times:0,result=
14:07:01 557	 5 ImageProcess result=
14:07:01 560	7 finish getImage
14:07:01 561	 1:start getImage
14:07:01 562	 2 getImage times:0
14:07:01 570	3  GrabFrame times:0,result=
14:07:01 574	 5 ImageProcess result=
14:07:01 577	7 finish getImage
14:07:01 745	 1:start getImage
14:07:01 746	 2 getImage times:0
14:07:01 746	3  GrabFrame times:0,result=
14:07:01 751	 5 ImageProcess result=
14:07:01 754	7 finish getImage
14:07:01 756	 1:start getImage
14:07:01 756	 2 getImage times:0
14:07:01 770	3  GrabFrame times:0,result=
14:07:01 773	 5 ImageProcess result=
14:07:01 776	7 finish getImage
14:07:01 950	 1:start getImage
14:07:01 951	 2 getImage times:0
14:07:01 952	3  GrabFrame times:0,result=
14:07:01 956	 5 ImageProcess result=
14:07:01 959	7 finish getImage
14:07:01 961	 1:start getImage
14:07:01 961	 2 getImage times:0
14:07:01 969	3  GrabFrame times:0,result=
14:07:01 973	 5 ImageProcess result=
14:07:01 976	7 finish getImage
14:07:02 149	 1:start getImage
14:07:02 149	 2 getImage times:0
14:07:02 151	3  GrabFrame times:0,result=
14:07:02 155	 5 ImageProcess result=
14:07:02 158	7 finish getImage
14:07:02 159	 1:start getImage
14:07:02 160	 2 getImage times:0
14:07:02 169	3  GrabFrame times:0,result=
14:07:02 173	 5 ImageProcess result=
14:07:02 176	7 finish getImage
14:07:02 353	 1:start getImage
14:07:02 353	 2 getImage times:0
14:07:02 354	3  GrabFrame times:0,result=
14:07:02 359	 5 ImageProcess result=
14:07:02 361	7 finish getImage
14:07:02 363	 1:start getImage
14:07:02 363	 2 getImage times:0
14:07:02 369	3  GrabFrame times:0,result=
14:07:02 374	 5 ImageProcess result=
14:07:02 376	7 finish getImage
14:07:02 549	 1:start getImage
14:07:02 549	 2 getImage times:0
14:07:02 551	3  GrabFrame times:0,result=
14:07:02 555	 5 ImageProcess result=
14:07:02 558	7 finish getImage
14:07:02 559	 1:start getImage
14:07:02 560	 2 getImage times:0
14:07:02 569	3  GrabFrame times:0,result=
14:07:02 573	 5 ImageProcess result=
14:07:02 576	7 finish getImage
14:07:02 744	 1:start getImage
14:07:02 744	 2 getImage times:0
14:07:02 745	3  GrabFrame times:0,result=
14:07:02 750	 5 ImageProcess result=
14:07:02 753	7 finish getImage
14:07:02 755	 1:start getImage
14:07:02 755	 2 getImage times:0
14:07:02 769	3  GrabFrame times:0,result=
14:07:02 774	 5 ImageProcess result=
14:07:02 776	7 finish getImage
14:07:02 950	 1:start getImage
14:07:02 951	 2 getImage times:0
14:07:02 952	3  GrabFrame times:0,result=
14:07:02 956	 5 ImageProcess result=
14:07:02 959	7 finish getImage
14:07:02 960	 1:start getImage
14:07:02 960	 2 getImage times:0
14:07:02 969	3  GrabFrame times:0,result=
14:07:02 974	 5 ImageProcess result=
14:07:02 976	7 finish getImage
14:07:03 145	 1:start getImage
14:07:03 145	 2 getImage times:0
14:07:03 146	3  GrabFrame times:0,result=
14:07:03 151	 5 ImageProcess result=
14:07:03 154	7 finish getImage
14:07:03 155	 1:start getImage
14:07:03 155	 2 getImage times:0
14:07:03 169	3  GrabFrame times:0,result=
14:07:03 174	 5 ImageProcess result=
14:07:03 177	7 finish getImage
14:07:03 345	 1:start getImage
14:07:03 345	 2 getImage times:0
14:07:03 346	3  GrabFrame times:0,result=
14:07:03 351	 5 ImageProcess result=
14:07:03 354	7 finish getImage
14:07:03 355	 1:start getImage
14:07:03 356	 2 getImage times:0
14:07:03 370	3  GrabFrame times:0,result=
14:07:03 374	 5 ImageProcess result=
14:07:03 377	7 finish getImage
14:07:03 545	 1:start getImage
14:07:03 545	 2 getImage times:0
14:07:03 547	3  GrabFrame times:0,result=
14:07:03 551	 5 ImageProcess result=
14:07:03 554	7 finish getImage
14:07:03 555	 1:start getImage
14:07:03 556	 2 getImage times:0
14:07:03 569	3  GrabFrame times:0,result=
14:07:03 573	 5 ImageProcess result=
14:07:03 576	7 finish getImage
14:07:03 745	 1:start getImage
14:07:03 746	 2 getImage times:0
14:07:03 747	3  GrabFrame times:0,result=
14:07:03 751	 5 ImageProcess result=
14:07:03 754	7 finish getImage
14:07:03 756	 1:start getImage
14:07:03 756	 2 getImage times:0
14:07:03 769	3  GrabFrame times:0,result=
14:07:03 773	 5 ImageProcess result=
14:07:03 776	7 finish getImage
14:07:03 945	 1:start getImage
14:07:03 946	 2 getImage times:0
14:07:03 947	3  GrabFrame times:0,result=
14:07:03 951	 5 ImageProcess result=
14:07:03 954	7 finish getImage
14:07:03 955	 1:start getImage
14:07:03 956	 2 getImage times:0
14:07:03 969	3  GrabFrame times:0,result=
14:07:03 973	 5 ImageProcess result=
14:07:03 976	7 finish getImage
14:07:04 144	 1:start getImage
14:07:04 145	 2 getImage times:0
14:07:04 146	3  GrabFrame times:0,result=
14:07:04 150	 5 ImageProcess result=
14:07:04 153	7 finish getImage
14:07:04 154	 1:start getImage
14:07:04 154	 2 getImage times:0
14:07:04 169	3  GrabFrame times:0,result=
14:07:04 173	 5 ImageProcess result=
14:07:04 176	7 finish getImage
14:07:04 345	 1:start getImage
14:07:04 345	 2 getImage times:0
14:07:04 346	3  GrabFrame times:0,result=
14:07:04 350	 5 ImageProcess result=
14:07:04 353	7 finish getImage
14:07:04 354	 1:start getImage
14:07:04 355	 2 getImage times:0
14:07:04 369	3  GrabFrame times:0,result=
14:07:04 374	 5 ImageProcess result=
14:07:04 377	7 finish getImage
14:07:04 547	 1:start getImage
14:07:04 548	 2 getImage times:0
14:07:04 548	3  GrabFrame times:0,result=
14:07:04 553	 5 ImageProcess result=
14:07:04 556	7 finish getImage
14:07:04 557	 1:start getImage
14:07:04 557	 2 getImage times:0
14:07:04 569	3  GrabFrame times:0,result=
14:07:04 574	 5 ImageProcess result=
14:07:04 577	7 finish getImage
14:07:04 745	 1:start getImage
14:07:04 746	 2 getImage times:0
14:07:04 746	3  GrabFrame times:0,result=
14:07:04 751	 5 ImageProcess result=
14:07:04 754	7 finish getImage
14:07:04 755	 1:start getImage
14:07:04 756	 2 getImage times:0
14:07:04 769	3  GrabFrame times:0,result=
14:07:04 774	 5 ImageProcess result=
14:07:04 777	7 finish getImage
14:07:04 945	 1:start getImage
14:07:04 945	 2 getImage times:0
14:07:04 946	3  GrabFrame times:0,result=
14:07:04 951	 5 ImageProcess result=
14:07:04 953	7 finish getImage
14:07:04 955	 1:start getImage
14:07:04 955	 2 getImage times:0
14:07:04 969	3  GrabFrame times:0,result=
14:07:04 974	 5 ImageProcess result=
14:07:04 977	7 finish getImage
14:07:05 146	 1:start getImage
14:07:05 146	 2 getImage times:0
14:07:05 148	3  GrabFrame times:0,result=
14:07:05 152	 5 ImageProcess result=
14:07:05 155	7 finish getImage
14:07:05 156	 1:start getImage
14:07:05 157	 2 getImage times:0
14:07:05 170	3  GrabFrame times:0,result=
14:07:05 174	 5 ImageProcess result=
14:07:05 178	7 finish getImage
14:07:05 347	 1:start getImage
14:07:05 347	 2 getImage times:0
14:07:05 348	3  GrabFrame times:0,result=
14:07:05 353	 5 ImageProcess result=
14:07:05 356	7 finish getImage
14:07:05 357	 1:start getImage
14:07:05 358	 2 getImage times:0
14:07:05 369	3  GrabFrame times:0,result=
14:07:05 373	 5 ImageProcess result=
14:07:05 376	7 finish getImage
14:07:05 556	 1:start getImage
14:07:05 556	 2 getImage times:0
14:07:05 557	3  GrabFrame times:0,result=
14:07:05 562	 5 ImageProcess result=
14:07:05 565	7 finish getImage
14:07:05 566	 1:start getImage
14:07:05 567	 2 getImage times:0
14:07:05 569	3  GrabFrame times:0,result=
14:07:05 573	 5 ImageProcess result=
14:07:05 576	7 finish getImage
14:07:05 753	 1:start getImage
14:07:05 753	 2 getImage times:0
14:07:05 754	3  GrabFrame times:0,result=
14:07:05 759	 5 ImageProcess result=
14:07:05 762	7 finish getImage
14:07:05 763	 1:start getImage
14:07:05 764	 2 getImage times:0
14:07:05 769	3  GrabFrame times:0,result=
14:07:05 773	 5 ImageProcess result=
14:07:05 776	7 finish getImage
14:07:05 952	 1:start getImage
14:07:05 952	 2 getImage times:0
14:07:05 953	3  GrabFrame times:0,result=
14:07:05 958	 5 ImageProcess result=
14:07:05 961	7 finish getImage
14:07:05 962	 1:start getImage
14:07:05 963	 2 getImage times:0
14:07:05 969	3  GrabFrame times:0,result=
14:07:05 973	 5 ImageProcess result=
14:07:05 976	7 finish getImage
14:07:06 152	 1:start getImage
14:07:06 152	 2 getImage times:0
14:07:06 153	3  GrabFrame times:0,result=
14:07:06 158	 5 ImageProcess result=
14:07:06 161	7 finish getImage
14:07:06 162	 1:start getImage
14:07:06 163	 2 getImage times:0
14:07:06 169	3  GrabFrame times:0,result=
14:07:06 174	 5 ImageProcess result=
14:07:06 176	7 finish getImage
14:07:06 352	 1:start getImage
14:07:06 352	 2 getImage times:0
14:07:06 353	3  GrabFrame times:0,result=
14:07:06 358	 5 ImageProcess result=
14:07:06 361	7 finish getImage
14:07:06 362	 1:start getImage
14:07:06 363	 2 getImage times:0
14:07:06 369	3  GrabFrame times:0,result=
14:07:06 374	 5 ImageProcess result=
14:07:06 376	7 finish getImage
14:07:06 550	 1:start getImage
14:07:06 550	 2 getImage times:0
14:07:06 551	3  GrabFrame times:0,result=
14:07:06 556	 5 ImageProcess result=
14:07:06 559	7 finish getImage
14:07:06 560	 1:start getImage
14:07:06 561	 2 getImage times:0
14:07:06 569	3  GrabFrame times:0,result=
14:07:06 574	 5 ImageProcess result=
14:07:06 577	7 finish getImage
14:07:06 752	 1:start getImage
14:07:06 752	 2 getImage times:0
14:07:06 753	3  GrabFrame times:0,result=
14:07:06 758	 5 ImageProcess result=
14:07:06 761	7 finish getImage
14:07:06 763	 1:start getImage
14:07:06 764	 2 getImage times:0
14:07:06 769	3  GrabFrame times:0,result=
14:07:06 774	 5 ImageProcess result=
14:07:06 777	7 finish getImage
14:07:06 952	 1:start getImage
14:07:06 952	 2 getImage times:0
14:07:06 953	3  GrabFrame times:0,result=
14:07:06 958	 5 ImageProcess result=
14:07:06 961	7 finish getImage
14:07:06 963	 1:start getImage
14:07:06 964	 2 getImage times:0
14:07:06 970	3  GrabFrame times:0,result=
14:07:06 974	 5 ImageProcess result=
14:07:06 977	7 finish getImage
14:07:07 152	 1:start getImage
14:07:07 153	 2 getImage times:0
14:07:07 154	3  GrabFrame times:0,result=
14:07:07 158	 5 ImageProcess result=
14:07:07 161	7 finish getImage
14:07:07 163	 1:start getImage
14:07:07 163	 2 getImage times:0
14:07:07 169	3  GrabFrame times:0,result=
14:07:07 173	 5 ImageProcess result=
14:07:07 176	7 finish getImage
14:07:07 350	 1:start getImage
14:07:07 351	 2 getImage times:0
14:07:07 352	3  GrabFrame times:0,result=
14:07:07 356	 5 ImageProcess result=
14:07:07 359	7 finish getImage
14:07:07 360	 1:start getImage
14:07:07 361	 2 getImage times:0
14:07:07 369	3  GrabFrame times:0,result=
14:07:07 373	 5 ImageProcess result=
14:07:07 376	7 finish getImage
14:07:07 551	 1:start getImage
14:07:07 552	 2 getImage times:0
14:07:07 552	3  GrabFrame times:0,result=
14:07:07 557	 5 ImageProcess result=
14:07:07 560	7 finish getImage
14:07:07 561	 1:start getImage
14:07:07 562	 2 getImage times:0
14:07:07 569	3  GrabFrame times:0,result=
14:07:07 573	 5 ImageProcess result=
14:07:07 576	7 finish getImage
14:07:07 752	 1:start getImage
14:07:07 753	 2 getImage times:0
14:07:07 753	3  GrabFrame times:0,result=
14:07:07 758	 5 ImageProcess result=
14:07:07 761	7 finish getImage
14:07:07 762	 1:start getImage
14:07:07 763	 2 getImage times:0
14:07:07 769	3  GrabFrame times:0,result=
14:07:07 773	 5 ImageProcess result=
14:07:07 776	7 finish getImage
14:07:07 954	 1:start getImage
14:07:07 955	 2 getImage times:0
14:07:07 956	3  GrabFrame times:0,result=
14:07:07 960	 5 ImageProcess result=
14:07:07 963	7 finish getImage
14:07:07 965	 1:start getImage
14:07:07 965	 2 getImage times:0
14:07:07 969	3  GrabFrame times:0,result=
14:07:07 974	 5 ImageProcess result=
14:07:07 976	7 finish getImage
14:07:08 151	 1:start getImage
14:07:08 152	 2 getImage times:0
14:07:08 153	3  GrabFrame times:0,result=
14:07:08 157	 5 ImageProcess result=
14:07:08 160	7 finish getImage
14:07:08 161	 1:start getImage
14:07:08 162	 2 getImage times:0
14:07:08 169	3  GrabFrame times:0,result=
14:07:08 174	 5 ImageProcess result=
14:07:08 177	7 finish getImage
14:07:08 354	 1:start getImage
14:07:08 354	 2 getImage times:0
14:07:08 355	3  GrabFrame times:0,result=
14:07:08 359	 5 ImageProcess result=
14:07:08 362	7 finish getImage
14:07:08 364	 1:start getImage
14:07:08 364	 2 getImage times:0
14:07:08 369	3  GrabFrame times:0,result=
14:07:08 373	 5 ImageProcess result=
14:07:08 376	7 finish getImage
14:07:08 551	 1:start getImage
14:07:08 551	 2 getImage times:0
14:07:08 552	3  GrabFrame times:0,result=
14:07:08 557	 5 ImageProcess result=
14:07:08 560	7 finish getImage
14:07:08 561	 1:start getImage
14:07:08 562	 2 getImage times:0
14:07:08 569	3  GrabFrame times:0,result=
14:07:08 574	 5 ImageProcess result=
14:07:08 577	7 finish getImage
14:07:08 754	 1:start getImage
14:07:08 754	 2 getImage times:0
14:07:08 755	3  GrabFrame times:0,result=
14:07:08 759	 5 ImageProcess result=
14:07:08 762	7 finish getImage
14:07:08 763	 1:start getImage
14:07:08 765	 2 getImage times:0
14:07:08 770	3  GrabFrame times:0,result=
14:07:08 773	 5 ImageProcess result=
14:07:08 776	7 finish getImage
14:07:08 949	 1:start getImage
14:07:08 949	 2 getImage times:0
14:07:08 950	3  GrabFrame times:0,result=
14:07:08 955	 5 ImageProcess result=
14:07:08 958	7 finish getImage
14:07:08 959	 1:start getImage
14:07:08 960	 2 getImage times:0
14:07:08 969	3  GrabFrame times:0,result=
14:07:08 973	 5 ImageProcess result=
14:07:08 976	7 finish getImage
14:07:09 151	 1:start getImage
14:07:09 151	 2 getImage times:0
14:07:09 152	3  GrabFrame times:0,result=
14:07:09 157	 5 ImageProcess result=
14:07:09 160	7 finish getImage
14:07:09 161	 1:start getImage
14:07:09 161	 2 getImage times:0
14:07:09 169	3  GrabFrame times:0,result=
14:07:09 173	 5 ImageProcess result=
14:07:09 176	7 finish getImage
14:07:09 350	 1:start getImage
14:07:09 350	 2 getImage times:0
14:07:09 351	3  GrabFrame times:0,result=
14:07:09 356	 5 ImageProcess result=
14:07:09 359	7 finish getImage
14:07:09 360	 1:start getImage
14:07:09 360	 2 getImage times:0
14:07:09 369	3  GrabFrame times:0,result=
14:07:09 374	 5 ImageProcess result=
14:07:09 377	7 finish getImage
14:07:09 552	 1:start getImage
14:07:09 552	 2 getImage times:0
14:07:09 553	3  GrabFrame times:0,result=
14:07:09 558	 5 ImageProcess result=
14:07:09 561	7 finish getImage
14:07:09 562	 1:start getImage
14:07:09 563	 2 getImage times:0
14:07:09 569	3  GrabFrame times:0,result=
14:07:09 574	 5 ImageProcess result=
14:07:09 577	7 finish getImage
14:07:09 751	 1:start getImage
14:07:09 751	 2 getImage times:0
14:07:09 752	3  GrabFrame times:0,result=
14:07:09 757	 5 ImageProcess result=
14:07:09 760	7 finish getImage
14:07:09 761	 1:start getImage
14:07:09 762	 2 getImage times:0
14:07:09 769	3  GrabFrame times:0,result=
14:07:09 774	 5 ImageProcess result=
14:07:09 777	7 finish getImage
14:07:09 953	 1:start getImage
14:07:09 954	 2 getImage times:0
14:07:09 955	3  GrabFrame times:0,result=
14:07:09 959	 5 ImageProcess result=
14:07:09 962	7 finish getImage
14:07:09 964	 1:start getImage
14:07:09 964	 2 getImage times:0
14:07:09 969	3  GrabFrame times:0,result=
14:07:09 974	 5 ImageProcess result=
14:07:09 977	7 finish getImage
14:07:10 155	 1:start getImage
14:07:10 156	 2 getImage times:0
14:07:10 157	3  GrabFrame times:0,result=
14:07:10 161	 5 ImageProcess result=
14:07:10 165	7 finish getImage
14:07:10 166	 1:start getImage
14:07:10 167	 2 getImage times:0
14:07:10 169	3  GrabFrame times:0,result=
14:07:10 174	 5 ImageProcess result=
14:07:10 177	7 finish getImage
14:07:10 355	 1:start getImage
14:07:10 355	 2 getImage times:0
14:07:10 356	3  GrabFrame times:0,result=
14:07:10 361	 5 ImageProcess result=
14:07:10 364	7 finish getImage
14:07:10 365	 1:start getImage
14:07:10 366	 2 getImage times:0
14:07:10 370	3  GrabFrame times:0,result=
14:07:10 374	 5 ImageProcess result=
14:07:10 377	7 finish getImage
14:07:10 551	 1:start getImage
14:07:10 551	 2 getImage times:0
14:07:10 551	3  GrabFrame times:0,result=
14:07:10 556	 5 ImageProcess result=
14:07:10 559	7 finish getImage
14:07:10 560	 1:start getImage
14:07:10 560	 2 getImage times:0
14:07:10 569	3  GrabFrame times:0,result=
14:07:10 573	 5 ImageProcess result=
14:07:10 576	7 finish getImage
14:07:10 751	 1:start getImage
14:07:10 752	 2 getImage times:0
14:07:10 753	3  GrabFrame times:0,result=
14:07:10 757	 5 ImageProcess result=
14:07:10 760	7 finish getImage
14:07:10 763	 1:start getImage
14:07:10 763	 2 getImage times:0
14:07:10 770	3  GrabFrame times:0,result=
14:07:10 775	 5 ImageProcess result=
14:07:10 778	7 finish getImage
14:07:10 957	 1:start getImage
14:07:10 957	 2 getImage times:0
14:07:10 958	3  GrabFrame times:0,result=
14:07:10 963	 5 ImageProcess result=
14:07:10 966	7 finish getImage
14:07:10 967	 1:start getImage
14:07:10 968	 2 getImage times:0
14:07:10 969	3  GrabFrame times:0,result=
14:07:10 973	 5 ImageProcess result=
14:07:10 976	7 finish getImage
14:07:11 152	 1:start getImage
