16:45:29 326	 start loadBaseParameter
17:01:51 493	 2 getImage times:0
17:01:51 502	3  GrabFrame times:0,result=
17:01:51 509	 5 ImageProcess result=
17:01:51 512	7 finish getImage
17:01:51 679	 1:start getImage
17:01:51 680	 2 getImage times:0
17:01:51 681	3  GrabFrame times:0,result=
17:01:51 708	 5 ImageProcess result=
17:01:51 711	7 finish getImage
17:01:51 713	 1:start getImage
17:01:51 713	 2 getImage times:0
17:01:51 714	3  GrabFrame times:0,result=
17:01:51 719	 5 ImageProcess result=
17:01:51 722	7 finish getImage
17:01:51 891	 1:start getImage
17:01:51 891	 2 getImage times:0
17:01:51 892	3  GrabFrame times:0,result=
17:01:51 897	 5 ImageProcess result=
17:01:51 899	7 finish getImage
17:01:51 901	 1:start getImage
17:01:51 902	 2 getImage times:0
17:01:51 903	3  GrabFrame times:0,result=
17:01:51 908	 5 ImageProcess result=
17:01:51 912	7 finish getImage
17:01:52 079	 1:start getImage
17:01:52 080	 2 getImage times:0
17:01:52 082	3  GrabFrame times:0,result=
17:01:52 086	 5 ImageProcess result=
17:01:52 089	7 finish getImage
17:01:52 091	 1:start getImage
17:01:52 091	 2 getImage times:0
17:01:52 102	3  GrabFrame times:0,result=
17:01:52 106	 5 ImageProcess result=
17:01:52 109	7 finish getImage
17:01:52 277	 1:start getImage
17:01:52 278	 2 getImage times:0
17:01:52 279	3  GrabFrame times:0,result=
17:01:52 284	 5 ImageProcess result=
17:01:52 287	7 finish getImage
17:01:52 288	 1:start getImage
17:01:52 289	 2 getImage times:0
17:01:52 302	3  GrabFrame times:0,result=
17:01:52 306	 5 ImageProcess result=
17:01:52 309	7 finish getImage
17:01:52 477	 1:start getImage
17:01:52 478	 2 getImage times:0
17:01:52 479	3  GrabFrame times:0,result=
17:01:52 483	 5 ImageProcess result=
17:01:52 486	7 finish getImage
17:01:52 488	 1:start getImage
17:01:52 489	 2 getImage times:0
17:01:52 502	3  GrabFrame times:0,result=
17:01:52 506	 5 ImageProcess result=
17:01:52 509	7 finish getImage
17:01:52 677	 1:start getImage
17:01:52 678	 2 getImage times:0
17:01:52 679	3  GrabFrame times:0,result=
17:01:52 683	 5 ImageProcess result=
17:01:52 686	7 finish getImage
17:01:52 688	 1:start getImage
17:01:52 689	 2 getImage times:0
17:01:52 702	3  GrabFrame times:0,result=
17:01:52 706	 5 ImageProcess result=
17:01:52 709	7 finish getImage
17:01:52 876	 1:start getImage
17:01:52 877	 2 getImage times:0
17:01:52 878	3  GrabFrame times:0,result=
17:01:52 882	 5 ImageProcess result=
17:01:52 885	7 finish getImage
17:01:52 887	 1:start getImage
17:01:52 887	 2 getImage times:0
17:01:52 902	3  GrabFrame times:0,result=
17:01:52 906	 5 ImageProcess result=
17:01:52 909	7 finish getImage
17:01:53 077	 1:start getImage
17:01:53 078	 2 getImage times:0
17:01:53 079	3  GrabFrame times:0,result=
17:01:53 084	 5 ImageProcess result=
17:01:53 087	7 finish getImage
17:01:53 088	 1:start getImage
17:01:53 089	 2 getImage times:0
17:01:53 102	3  GrabFrame times:0,result=
17:01:53 106	 5 ImageProcess result=
17:01:53 109	7 finish getImage
17:01:53 277	 1:start getImage
17:01:53 278	 2 getImage times:0
17:01:53 279	3  GrabFrame times:0,result=
17:01:53 284	 5 ImageProcess result=
17:01:53 286	7 finish getImage
17:01:53 288	 1:start getImage
17:01:53 289	 2 getImage times:0
17:01:53 302	3  GrabFrame times:0,result=
17:01:53 307	 5 ImageProcess result=
17:01:53 310	7 finish getImage
17:01:53 477	 1:start getImage
17:01:53 478	 2 getImage times:0
17:01:53 479	3  GrabFrame times:0,result=
17:01:53 483	 5 ImageProcess result=
17:01:53 486	7 finish getImage
17:01:53 488	 1:start getImage
17:01:53 488	 2 getImage times:0
17:01:53 502	3  GrabFrame times:0,result=
17:01:53 507	 5 ImageProcess result=
17:01:53 510	7 finish getImage
17:01:53 676	 1:start getImage
17:01:53 677	 2 getImage times:0
17:01:53 678	3  GrabFrame times:0,result=
17:01:53 682	 5 ImageProcess result=
17:01:53 685	7 finish getImage
17:01:53 687	 1:start getImage
17:01:53 687	 2 getImage times:0
17:01:53 701	3  GrabFrame times:0,result=
17:01:53 706	 5 ImageProcess result=
17:01:53 709	7 finish getImage
17:01:53 876	 1:start getImage
17:01:53 877	 2 getImage times:0
17:01:53 878	3  GrabFrame times:0,result=
17:01:53 882	 5 ImageProcess result=
17:01:53 885	7 finish getImage
17:01:53 887	 1:start getImage
17:01:53 888	 2 getImage times:0
17:01:53 901	3  GrabFrame times:0,result=
17:01:53 906	 5 ImageProcess result=
17:01:53 909	7 finish getImage
17:01:54 076	 1:start getImage
17:01:54 077	 2 getImage times:0
17:01:54 078	3  GrabFrame times:0,result=
17:01:54 083	 5 ImageProcess result=
17:01:54 086	7 finish getImage
17:01:54 087	 1:start getImage
17:01:54 088	 2 getImage times:0
17:01:54 102	3  GrabFrame times:0,result=
17:01:54 106	 5 ImageProcess result=
17:01:54 109	7 finish getImage
17:01:54 278	 1:start getImage
17:01:54 279	 2 getImage times:0
17:01:54 280	3  GrabFrame times:0,result=
17:01:54 285	 5 ImageProcess result=
17:01:54 288	7 finish getImage
17:01:54 289	 1:start getImage
17:01:54 290	 2 getImage times:0
17:01:54 302	3  GrabFrame times:0,result=
17:01:54 306	 5 ImageProcess result=
17:01:54 309	7 finish getImage
17:01:54 477	 1:start getImage
17:01:54 478	 2 getImage times:0
17:01:54 479	3  GrabFrame times:0,result=
17:01:54 483	 5 ImageProcess result=
17:01:54 486	7 finish getImage
17:01:54 488	 1:start getImage
17:01:54 489	 2 getImage times:0
17:01:54 502	3  GrabFrame times:0,result=
17:01:54 506	 5 ImageProcess result=
17:01:54 509	7 finish getImage
17:01:54 677	 1:start getImage
17:01:54 678	 2 getImage times:0
17:01:54 679	3  GrabFrame times:0,result=
17:01:54 683	 5 ImageProcess result=
17:01:54 686	7 finish getImage
17:01:54 688	 1:start getImage
17:01:54 689	 2 getImage times:0
17:01:54 702	3  GrabFrame times:0,result=
17:01:54 707	 5 ImageProcess result=
17:01:54 710	7 finish getImage
17:01:54 877	 1:start getImage
17:01:54 878	 2 getImage times:0
17:01:54 879	3  GrabFrame times:0,result=
17:01:54 883	 5 ImageProcess result=
17:01:54 886	7 finish getImage
17:01:54 888	 1:start getImage
17:01:54 889	 2 getImage times:0
17:01:54 902	3  GrabFrame times:0,result=
17:01:54 907	 5 ImageProcess result=
17:01:54 910	7 finish getImage
17:01:55 078	 1:start getImage
17:01:55 079	 2 getImage times:0
17:01:55 080	3  GrabFrame times:0,result=
17:01:55 084	 5 ImageProcess result=
17:01:55 087	7 finish getImage
17:01:55 089	 1:start getImage
17:01:55 091	 2 getImage times:0
17:01:55 102	3  GrabFrame times:0,result=
17:01:55 107	 5 ImageProcess result=
17:01:55 110	7 finish getImage
17:01:55 279	 1:start getImage
17:01:55 280	 2 getImage times:0
17:01:55 281	3  GrabFrame times:0,result=
17:01:55 286	 5 ImageProcess result=
17:01:55 289	7 finish getImage
17:01:55 290	 1:start getImage
17:01:55 291	 2 getImage times:0
17:01:55 302	3  GrabFrame times:0,result=
17:01:55 307	 5 ImageProcess result=
17:01:55 310	7 finish getImage
17:01:55 477	 1:start getImage
17:01:55 478	 2 getImage times:0
17:01:55 479	3  GrabFrame times:0,result=
17:01:55 483	 5 ImageProcess result=
17:01:55 486	7 finish getImage
17:01:55 488	 1:start getImage
17:01:55 489	 2 getImage times:0
17:01:55 501	3  GrabFrame times:0,result=
17:01:55 506	 5 ImageProcess result=
17:01:55 509	7 finish getImage
17:01:55 677	 1:start getImage
17:01:55 678	 2 getImage times:0
17:01:55 679	3  GrabFrame times:0,result=
17:01:55 683	 5 ImageProcess result=
17:01:55 686	7 finish getImage
17:01:55 688	 1:start getImage
17:01:55 689	 2 getImage times:0
17:01:55 701	3  GrabFrame times:0,result=
17:01:55 706	 5 ImageProcess result=
17:01:55 709	7 finish getImage
17:01:55 878	 1:start getImage
17:01:55 879	 2 getImage times:0
17:01:55 880	3  GrabFrame times:0,result=
17:01:55 884	 5 ImageProcess result=
17:01:55 887	7 finish getImage
17:01:55 889	 1:start getImage
17:01:55 890	 2 getImage times:0
17:01:55 902	3  GrabFrame times:0,result=
17:01:55 906	 5 ImageProcess result=
17:01:55 909	7 finish getImage
17:01:56 078	 1:start getImage
17:01:56 079	 2 getImage times:0
17:01:56 080	3  GrabFrame times:0,result=
17:01:56 085	 5 ImageProcess result=
17:01:56 088	7 finish getImage
17:01:56 089	 1:start getImage
17:01:56 090	 2 getImage times:0
17:01:56 102	3  GrabFrame times:0,result=
17:01:56 106	 5 ImageProcess result=
17:01:56 109	7 finish getImage
17:01:56 279	 1:start getImage
17:01:56 280	 2 getImage times:0
17:01:56 281	3  GrabFrame times:0,result=
17:01:56 285	 5 ImageProcess result=
17:01:56 288	7 finish getImage
17:01:56 290	 1:start getImage
17:01:56 290	 2 getImage times:0
17:01:56 302	3  GrabFrame times:0,result=
17:01:56 306	 5 ImageProcess result=
17:01:56 309	7 finish getImage
17:01:56 477	 1:start getImage
17:01:56 478	 2 getImage times:0
17:01:56 479	3  GrabFrame times:0,result=
17:01:56 483	 5 ImageProcess result=
17:01:56 486	7 finish getImage
17:01:56 488	 1:start getImage
17:01:56 489	 2 getImage times:0
17:01:56 502	3  GrabFrame times:0,result=
17:01:56 506	 5 ImageProcess result=
17:01:56 509	7 finish getImage
17:01:56 678	 1:start getImage
17:01:56 679	 2 getImage times:0
17:01:56 680	3  GrabFrame times:0,result=
17:01:56 684	 5 ImageProcess result=
17:01:56 687	7 finish getImage
17:01:56 689	 1:start getImage
17:01:56 690	 2 getImage times:0
17:01:56 702	3  GrabFrame times:0,result=
17:01:56 707	 5 ImageProcess result=
17:01:56 709	7 finish getImage
17:01:56 877	 1:start getImage
17:01:56 878	 2 getImage times:0
17:01:56 879	3  GrabFrame times:0,result=
17:01:56 883	 5 ImageProcess result=
17:01:56 887	7 finish getImage
17:01:56 888	 1:start getImage
17:01:56 889	 2 getImage times:0
17:01:56 902	3  GrabFrame times:0,result=
17:01:56 907	 5 ImageProcess result=
17:01:56 910	7 finish getImage
17:01:57 078	 1:start getImage
17:01:57 079	 2 getImage times:0
17:01:57 080	3  GrabFrame times:0,result=
17:01:57 085	 5 ImageProcess result=
17:01:57 088	7 finish getImage
17:01:57 089	 1:start getImage
17:01:57 090	 2 getImage times:0
17:01:57 102	3  GrabFrame times:0,result=
17:01:57 107	 5 ImageProcess result=
17:01:57 110	7 finish getImage
17:01:57 279	 1:start getImage
17:01:57 280	 2 getImage times:0
17:01:57 281	3  GrabFrame times:0,result=
17:01:57 286	 5 ImageProcess result=
17:01:57 288	7 finish getImage
17:01:57 290	 1:start getImage
17:01:57 291	 2 getImage times:0
17:01:57 301	3  GrabFrame times:0,result=
17:01:57 306	 5 ImageProcess result=
17:01:57 309	7 finish getImage
17:01:57 477	 1:start getImage
17:01:57 478	 2 getImage times:0
17:01:57 479	3  GrabFrame times:0,result=
17:01:57 484	 5 ImageProcess result=
17:01:57 487	7 finish getImage
17:01:57 488	 1:start getImage
17:01:57 489	 2 getImage times:0
17:01:57 501	3  GrabFrame times:0,result=
17:01:57 506	 5 ImageProcess result=
17:01:57 509	7 finish getImage
17:01:57 677	 1:start getImage
17:01:57 678	 2 getImage times:0
17:01:57 679	3  GrabFrame times:0,result=
17:01:57 683	 5 ImageProcess result=
17:01:57 686	7 finish getImage
17:01:57 688	 1:start getImage
17:01:57 689	 2 getImage times:0
17:01:57 702	3  GrabFrame times:0,result=
17:01:57 706	 5 ImageProcess result=
17:01:57 709	7 finish getImage
17:01:57 877	 1:start getImage
17:01:57 878	 2 getImage times:0
17:01:57 879	3  GrabFrame times:0,result=
17:01:57 883	 5 ImageProcess result=
17:01:57 886	7 finish getImage
17:01:57 888	 1:start getImage
17:01:57 888	 2 getImage times:0
17:01:57 902	3  GrabFrame times:0,result=
17:01:57 906	 5 ImageProcess result=
17:01:57 909	7 finish getImage
17:01:58 077	 1:start getImage
17:01:58 078	 2 getImage times:0
17:01:58 079	3  GrabFrame times:0,result=
17:01:58 084	 5 ImageProcess result=
17:01:58 087	7 finish getImage
17:01:58 088	 1:start getImage
17:01:58 089	 2 getImage times:0
17:01:58 102	3  GrabFrame times:0,result=
17:01:58 106	 5 ImageProcess result=
17:01:58 109	7 finish getImage
17:01:58 278	 1:start getImage
17:01:58 279	 2 getImage times:0
17:01:58 280	3  GrabFrame times:0,result=
17:01:58 284	 5 ImageProcess result=
17:01:58 287	7 finish getImage
17:01:58 289	 1:start getImage
17:01:58 290	 2 getImage times:0
17:01:58 302	3  GrabFrame times:0,result=
17:01:58 307	 5 ImageProcess result=
17:01:58 309	7 finish getImage
17:01:58 478	 1:start getImage
17:01:58 479	 2 getImage times:0
17:01:58 480	3  GrabFrame times:0,result=
17:01:58 484	 5 ImageProcess result=
17:01:58 487	7 finish getImage
17:01:58 489	 1:start getImage
17:01:58 490	 2 getImage times:0
17:01:58 502	3  GrabFrame times:0,result=
17:01:58 507	 5 ImageProcess result=
17:01:58 509	7 finish getImage
17:01:58 679	 1:start getImage
17:01:58 680	 2 getImage times:0
17:01:58 681	3  GrabFrame times:0,result=
17:01:58 686	 5 ImageProcess result=
17:01:58 689	7 finish getImage
17:01:58 690	 1:start getImage
17:01:58 691	 2 getImage times:0
17:01:58 702	3  GrabFrame times:0,result=
17:01:58 707	 5 ImageProcess result=
17:01:58 709	7 finish getImage
17:01:58 877	 1:start getImage
17:01:58 878	 2 getImage times:0
17:01:58 879	3  GrabFrame times:0,result=
17:01:58 882	 5 ImageProcess result=
17:01:58 886	7 finish getImage
17:01:58 888	 1:start getImage
17:01:58 889	 2 getImage times:0
17:01:58 902	3  GrabFrame times:0,result=
17:01:58 906	 5 ImageProcess result=
17:01:58 909	7 finish getImage
17:01:59 076	 1:start getImage
17:01:59 077	 2 getImage times:0
17:01:59 078	3  GrabFrame times:0,result=
17:01:59 083	 5 ImageProcess result=
17:01:59 086	7 finish getImage
17:01:59 087	 1:start getImage
17:01:59 088	 2 getImage times:0
17:01:59 101	3  GrabFrame times:0,result=
17:01:59 106	 5 ImageProcess result=
17:01:59 109	7 finish getImage
17:01:59 277	 1:start getImage
17:01:59 278	 2 getImage times:0
17:01:59 279	3  GrabFrame times:0,result=
17:01:59 284	 5 ImageProcess result=
17:01:59 287	7 finish getImage
17:01:59 288	 1:start getImage
17:01:59 289	 2 getImage times:0
17:01:59 302	3  GrabFrame times:0,result=
17:01:59 306	 5 ImageProcess result=
17:01:59 309	7 finish getImage
17:01:59 478	 1:start getImage
17:01:59 479	 2 getImage times:0
17:01:59 480	3  GrabFrame times:0,result=
17:01:59 485	 5 ImageProcess result=
17:01:59 488	7 finish getImage
17:01:59 489	 1:start getImage
17:01:59 490	 2 getImage times:0
17:01:59 502	3  GrabFrame times:0,result=
17:01:59 506	 5 ImageProcess result=
17:01:59 509	7 finish getImage
17:01:59 677	 1:start getImage
17:01:59 678	 2 getImage times:0
17:01:59 679	3  GrabFrame times:0,result=
17:01:59 683	 5 ImageProcess result=
17:01:59 686	7 finish getImage
17:01:59 688	 1:start getImage
17:01:59 688	 2 getImage times:0
17:01:59 702	3  GrabFrame times:0,result=
17:01:59 706	 5 ImageProcess result=
17:01:59 709	7 finish getImage
17:01:59 877	 1:start getImage
17:01:59 878	 2 getImage times:0
17:01:59 879	3  GrabFrame times:0,result=
17:01:59 884	 5 ImageProcess result=
17:01:59 886	7 finish getImage
17:01:59 888	 1:start getImage
17:01:59 889	 2 getImage times:0
17:01:59 902	3  GrabFrame times:0,result=
17:01:59 906	 5 ImageProcess result=
17:01:59 909	7 finish getImage
17:02:00 077	 1:start getImage
17:02:00 078	 2 getImage times:0
17:02:00 080	3  GrabFrame times:0,result=
17:02:00 084	 5 ImageProcess result=
17:02:00 087	7 finish getImage
17:02:00 089	 1:start getImage
17:02:00 089	 2 getImage times:0
17:02:00 102	3  GrabFrame times:0,result=
17:02:00 107	 5 ImageProcess result=
17:02:00 110	7 finish getImage
17:02:00 278	 1:start getImage
17:02:00 279	 2 getImage times:0
17:02:00 280	3  GrabFrame times:0,result=
17:02:00 285	 5 ImageProcess result=
17:02:00 288	7 finish getImage
17:02:00 290	 1:start getImage
17:02:00 290	 2 getImage times:0
17:02:00 302	3  GrabFrame times:0,result=
17:02:00 307	 5 ImageProcess result=
17:02:00 310	7 finish getImage
17:02:00 477	 1:start getImage
17:02:00 478	 2 getImage times:0
17:02:00 479	3  GrabFrame times:0,result=
17:02:00 483	 5 ImageProcess result=
17:02:00 486	7 finish getImage
17:02:00 488	 1:start getImage
17:02:00 488	 2 getImage times:0
17:02:00 502	3  GrabFrame times:0,result=
17:02:00 507	 5 ImageProcess result=
17:02:00 510	7 finish getImage
17:02:00 677	 1:start getImage
17:02:00 678	 2 getImage times:0
17:02:00 679	3  GrabFrame times:0,result=
17:02:00 683	 5 ImageProcess result=
17:02:00 686	7 finish getImage
17:02:00 688	 1:start getImage
17:02:00 689	 2 getImage times:0
17:02:00 701	3  GrabFrame times:0,result=
17:02:00 706	 5 ImageProcess result=
17:02:00 709	7 finish getImage
17:02:00 876	 1:start getImage
17:02:00 877	 2 getImage times:0
17:02:00 878	3  GrabFrame times:0,result=
17:02:00 882	 5 ImageProcess result=
17:02:00 885	7 finish getImage
17:02:00 887	 1:start getImage
17:02:00 887	 2 getImage times:0
17:02:00 901	3  GrabFrame times:0,result=
17:02:00 906	 5 ImageProcess result=
17:02:00 909	7 finish getImage
17:02:01 077	 1:start getImage
17:02:01 078	 2 getImage times:0
17:02:01 079	3  GrabFrame times:0,result=
17:02:01 083	 5 ImageProcess result=
17:02:01 086	7 finish getImage
17:02:01 088	 1:start getImage
17:02:01 088	 2 getImage times:0
17:02:01 102	3  GrabFrame times:0,result=
17:02:01 106	 5 ImageProcess result=
17:02:01 109	7 finish getImage
17:02:01 277	 1:start getImage
17:02:01 278	 2 getImage times:0
17:02:01 279	3  GrabFrame times:0,result=
17:02:01 283	 5 ImageProcess result=
17:02:01 286	7 finish getImage
17:02:01 288	 1:start getImage
17:02:01 289	 2 getImage times:0
17:02:01 302	3  GrabFrame times:0,result=
17:02:01 306	 5 ImageProcess result=
17:02:01 309	7 finish getImage
17:02:01 478	 1:start getImage
17:02:01 479	 2 getImage times:0
17:02:01 480	3  GrabFrame times:0,result=
17:02:01 485	 5 ImageProcess result=
17:02:01 487	7 finish getImage
17:02:01 489	 1:start getImage
17:02:01 490	 2 getImage times:0
17:02:01 502	3  GrabFrame times:0,result=
17:02:01 506	 5 ImageProcess result=
17:02:01 509	7 finish getImage
17:02:01 677	 1:start getImage
17:02:01 678	 2 getImage times:0
17:02:01 679	3  GrabFrame times:0,result=
17:02:01 683	 5 ImageProcess result=
17:02:01 686	7 finish getImage
17:02:01 688	 1:start getImage
17:02:01 689	 2 getImage times:0
17:02:01 702	3  GrabFrame times:0,result=
17:02:01 706	 5 ImageProcess result=
17:02:01 709	7 finish getImage
17:02:01 876	 1:start getImage
17:02:01 877	 2 getImage times:0
17:02:01 878	3  GrabFrame times:0,result=
17:02:01 882	 5 ImageProcess result=
17:02:01 885	7 finish getImage
17:02:01 887	 1:start getImage
17:02:01 887	 2 getImage times:0
17:02:01 902	3  GrabFrame times:0,result=
17:02:01 906	 5 ImageProcess result=
17:02:01 909	7 finish getImage
17:02:02 077	 1:start getImage
17:02:02 078	 2 getImage times:0
17:02:02 079	3  GrabFrame times:0,result=
17:02:02 084	 5 ImageProcess result=
17:02:02 087	7 finish getImage
17:02:02 088	 1:start getImage
17:02:02 089	 2 getImage times:0
17:02:02 102	3  GrabFrame times:0,result=
17:02:02 107	 5 ImageProcess result=
17:02:02 110	7 finish getImage
17:02:02 278	 1:start getImage
17:02:02 279	 2 getImage times:0
17:02:02 280	3  GrabFrame times:0,result=
17:02:02 285	 5 ImageProcess result=
17:02:02 288	7 finish getImage
17:02:02 289	 1:start getImage
17:02:02 290	 2 getImage times:0
17:02:02 302	3  GrabFrame times:0,result=
17:02:02 307	 5 ImageProcess result=
17:02:02 310	7 finish getImage
17:02:02 476	 1:start getImage
17:02:02 477	 2 getImage times:0
17:02:02 478	3  GrabFrame times:0,result=
17:02:02 482	 5 ImageProcess result=
17:02:02 485	7 finish getImage
17:02:02 487	 1:start getImage
17:02:02 488	 2 getImage times:0
17:02:02 501	3  GrabFrame times:0,result=
17:02:02 506	 5 ImageProcess result=
17:02:02 509	7 finish getImage
17:02:02 677	 1:start getImage
17:02:02 678	 2 getImage times:0
17:02:02 679	3  GrabFrame times:0,result=
17:02:02 683	 5 ImageProcess result=
17:02:02 686	7 finish getImage
17:02:02 688	 1:start getImage
17:02:02 688	 2 getImage times:0
17:02:02 702	3  GrabFrame times:0,result=
17:02:02 706	 5 ImageProcess result=
17:02:02 709	7 finish getImage
17:02:02 902	 1:start getImage
17:02:02 903	 2 getImage times:0
17:02:02 904	3  GrabFrame times:0,result=
17:02:02 909	 5 ImageProcess result=
17:02:02 912	7 finish getImage
17:02:02 914	 1:start getImage
17:02:02 914	 2 getImage times:0
17:02:02 942	3  GrabFrame times:0,result=
17:02:02 946	 5 ImageProcess result=
17:02:02 949	7 finish getImage
17:02:03 117	 1:start getImage
17:02:03 118	 2 getImage times:0
17:02:03 119	3  GrabFrame times:0,result=
17:02:03 124	 5 ImageProcess result=
17:02:03 127	7 finish getImage
17:02:03 128	 1:start getImage
17:02:03 129	 2 getImage times:0
17:02:03 142	3  GrabFrame times:0,result=
17:02:03 146	 5 ImageProcess result=
17:02:03 149	7 finish getImage
17:02:03 317	 1:start getImage
17:02:03 318	 2 getImage times:0
17:02:03 319	3  GrabFrame times:0,result=
17:02:03 323	 5 ImageProcess result=
17:02:03 327	7 finish getImage
17:02:03 328	 1:start getImage
17:02:03 329	 2 getImage times:0
17:02:03 342	3  GrabFrame times:0,result=
17:02:03 346	 5 ImageProcess result=
17:02:03 349	7 finish getImage
17:02:03 518	 1:start getImage
17:02:03 519	 2 getImage times:0
17:02:03 520	3  GrabFrame times:0,result=
17:02:03 525	 5 ImageProcess result=
17:02:03 528	7 finish getImage
17:02:03 530	 1:start getImage
17:02:03 531	 2 getImage times:0
17:02:03 542	3  GrabFrame times:0,result=
17:02:03 546	 5 ImageProcess result=
17:02:03 549	7 finish getImage
17:02:03 718	 1:start getImage
