00:00:41 813	3  GrabFrame times:2,result=
00:00:41 873	 1:start getImage
00:00:41 879	 2 getImage times:0
00:00:41 883	3  GrabFrame times:0,result=
00:00:41 941	 2 getImage times:1
00:00:41 945	3  GrabFrame times:1,result=
00:00:42 003	 2 getImage times:2
00:00:42 007	3  GrabFrame times:2,result=
00:00:42 065	 1:start getImage
00:00:42 071	 2 getImage times:0
00:00:42 075	3  GrabFrame times:0,result=
00:00:42 131	 2 getImage times:1
00:00:42 135	3  GrabFrame times:1,result=
00:00:42 191	 2 getImage times:2
00:00:42 195	3  GrabFrame times:2,result=
00:00:42 251	 1:start getImage
00:00:42 257	 2 getImage times:0
00:00:42 259	3  GrabFrame times:0,result=
00:00:42 317	 2 getImage times:1
00:00:42 321	3  GrabFrame times:1,result=
00:00:42 377	 2 getImage times:2
00:00:42 385	3  GrabFrame times:2,result=
00:00:42 443	start cam_stop 
00:00:42 560	finish cam_stop 
00:00:45 573	 start loadPinDef
00:00:45 581	 finished loadPinDef
00:00:45 591	 start setSN
00:00:45 593	start cam_stop 
00:00:45 725	finish cam_stop 
00:00:45 731	 start Playnew
00:00:45 735	into cam_play:deviceID0 
00:00:45 739	openDevice:deviceID0 
00:00:45 875	开始sensor power:deviceID 0 
00:00:46 176	完成sensor power:deviceID 0 
00:00:46 192	完成Pin set:deviceID 0 
00:00:46 482	完成I2C set:deviceID 0 
00:00:46 610	start InitSensor :deviceID 0 
00:00:46 918	完成 InitSensor  :deviceID 0 
00:00:46 922	set image format  :deviceID 0 
00:00:46 946	start Video :deviceID 0 
00:00:46 958	malloc memory :deviceID 0 
00:00:46 966	 WriteI2C:34,0,998,0 
00:00:46 970	 write I2C 0x998
00:00:47 755	finished play :deviceID 0 
00:00:47 961	 WriteI2C:fc,0,998,100 
00:00:47 965	 write I2C 0x998
00:00:50 752	 1:start getImage
00:00:50 758	 2 getImage times:0
00:00:50 762	3  GrabFrame times:0,result=
00:00:50 772	 5 ImageProcess result=
00:00:50 780	7 finish getImage
00:00:50 788	 1:start getImage
00:00:50 794	 2 getImage times:0
00:00:50 800	3  GrabFrame times:0,result=
00:00:50 808	 5 ImageProcess result=
00:00:50 814	7 finish getImage
00:00:51 339	 1:start getImage
00:00:51 345	 2 getImage times:0
00:00:51 349	3  GrabFrame times:0,result=
00:00:51 359	 5 ImageProcess result=
00:00:51 365	7 finish getImage
00:00:51 371	 1:start getImage
00:00:51 375	 2 getImage times:0
00:00:51 387	3  GrabFrame times:0,result=
00:00:51 395	 5 ImageProcess result=
00:00:51 401	7 finish getImage
00:00:51 629	 1:start getImage
00:00:51 633	 2 getImage times:0
00:00:51 639	3  GrabFrame times:0,result=
00:00:51 647	 5 ImageProcess result=
00:00:51 653	7 finish getImage
00:00:51 659	 1:start getImage
00:00:51 663	 2 getImage times:0
00:00:51 669	3  GrabFrame times:0,result=
00:00:51 679	 5 ImageProcess result=
00:00:51 687	7 finish getImage
00:00:51 865	 1:start getImage
00:00:51 869	 2 getImage times:0
00:00:51 875	3  GrabFrame times:0,result=
00:00:51 883	 5 ImageProcess result=
00:00:51 893	7 finish getImage
00:00:51 899	 1:start getImage
00:00:51 903	 2 getImage times:0
00:00:51 909	3  GrabFrame times:0,result=
00:00:51 917	 5 ImageProcess result=
00:00:51 923	7 finish getImage
00:00:52 095	 1:start getImage
00:00:52 101	 2 getImage times:0
00:00:52 105	3  GrabFrame times:0,result=
00:00:52 113	 5 ImageProcess result=
00:00:52 121	7 finish getImage
00:00:52 127	 1:start getImage
00:00:52 131	 2 getImage times:0
00:00:52 135	3  GrabFrame times:0,result=
00:00:52 143	 5 ImageProcess result=
00:00:52 151	7 finish getImage
00:00:52 329	 1:start getImage
00:00:52 333	 2 getImage times:0
00:00:52 339	3  GrabFrame times:0,result=
00:00:52 353	 5 ImageProcess result=
00:00:52 359	7 finish getImage
00:00:52 367	 1:start getImage
00:00:52 373	 2 getImage times:0
00:00:52 377	3  GrabFrame times:0,result=
00:00:52 385	 5 ImageProcess result=
00:00:52 393	7 finish getImage
00:00:52 567	 1:start getImage
00:00:52 573	 2 getImage times:0
00:00:52 581	3  GrabFrame times:0,result=
00:00:52 589	 5 ImageProcess result=
00:00:52 595	7 finish getImage
00:00:52 601	 1:start getImage
00:00:52 607	 2 getImage times:0
00:00:52 611	3  GrabFrame times:0,result=
00:00:52 619	 5 ImageProcess result=
00:00:52 625	7 finish getImage
00:00:52 805	 1:start getImage
00:00:52 809	 2 getImage times:0
00:00:52 813	3  GrabFrame times:0,result=
00:00:52 821	 5 ImageProcess result=
00:00:52 829	7 finish getImage
00:00:52 833	 1:start getImage
00:00:52 839	 2 getImage times:0
00:00:52 845	3  GrabFrame times:0,result=
00:00:52 855	 5 ImageProcess result=
00:00:52 863	7 finish getImage
00:00:53 034	 1:start getImage
00:00:53 038	 2 getImage times:0
00:00:53 042	3  GrabFrame times:0,result=
00:00:53 054	 5 ImageProcess result=
00:00:53 062	7 finish getImage
00:00:53 068	 1:start getImage
00:00:53 072	 2 getImage times:0
00:00:53 076	3  GrabFrame times:0,result=
00:00:53 084	 5 ImageProcess result=
00:00:53 090	7 finish getImage
00:00:53 264	 1:start getImage
00:00:53 268	 2 getImage times:0
00:00:53 272	3  GrabFrame times:0,result=
00:00:53 280	 5 ImageProcess result=
00:00:53 288	7 finish getImage
00:00:53 294	 1:start getImage
00:00:53 298	 2 getImage times:0
00:00:53 308	3  GrabFrame times:0,result=
00:00:53 316	 5 ImageProcess result=
00:00:53 324	7 finish getImage
00:00:53 508	 1:start getImage
00:00:53 512	 2 getImage times:0
00:00:53 516	3  GrabFrame times:0,result=
00:00:53 524	 5 ImageProcess result=
00:00:53 534	7 finish getImage
00:00:53 540	 1:start getImage
00:00:53 546	 2 getImage times:0
00:00:53 550	3  GrabFrame times:0,result=
00:00:53 558	 5 ImageProcess result=
00:00:53 566	7 finish getImage
00:00:53 740	 1:start getImage
00:00:53 748	 2 getImage times:0
00:00:53 758	3  GrabFrame times:0,result=
00:00:53 772	 5 ImageProcess result=
00:00:53 778	7 finish getImage
00:00:53 786	 1:start getImage
00:00:53 790	 2 getImage times:0
00:00:53 794	3  GrabFrame times:0,result=
00:00:53 804	 5 ImageProcess result=
00:00:53 812	7 finish getImage
00:00:54 306	 1:start getImage
00:00:54 310	 2 getImage times:0
00:00:54 314	3  GrabFrame times:0,result=
00:00:54 322	 5 ImageProcess result=
00:00:54 330	7 finish getImage
00:00:54 334	 1:start getImage
00:00:54 338	 2 getImage times:0
00:00:54 348	3  GrabFrame times:0,result=
00:00:54 360	 5 ImageProcess result=
00:00:54 368	7 finish getImage
00:00:54 795	 1:start getImage
00:00:54 799	 2 getImage times:0
00:00:54 803	3  GrabFrame times:0,result=
00:00:54 811	 5 ImageProcess result=
00:00:54 819	7 finish getImage
00:00:54 823	 1:start getImage
00:00:54 827	 2 getImage times:0
00:00:54 837	3  GrabFrame times:0,result=
00:00:54 845	 5 ImageProcess result=
00:00:54 853	7 finish getImage
00:00:55 279	 1:start getImage
00:00:55 283	 2 getImage times:0
00:00:55 287	3  GrabFrame times:0,result=
00:00:55 295	 5 ImageProcess result=
00:00:55 301	7 finish getImage
00:00:55 307	 1:start getImage
00:00:55 313	 2 getImage times:0
00:00:55 319	3  GrabFrame times:0,result=
00:00:55 329	 5 ImageProcess result=
00:00:55 335	7 finish getImage
00:00:55 765	 1:start getImage
00:00:55 769	 2 getImage times:0
00:00:55 773	3  GrabFrame times:0,result=
00:00:55 781	 5 ImageProcess result=
00:00:55 789	7 finish getImage
00:00:55 795	 1:start getImage
00:00:55 801	 2 getImage times:0
00:00:55 805	3  GrabFrame times:0,result=
00:00:55 815	 5 ImageProcess result=
00:00:55 821	7 finish getImage
00:00:56 247	 1:start getImage
00:00:56 251	 2 getImage times:0
00:00:56 255	3  GrabFrame times:0,result=
00:00:56 263	 5 ImageProcess result=
00:00:56 273	7 finish getImage
00:00:56 281	 1:start getImage
00:00:56 285	 2 getImage times:0
00:00:56 289	3  GrabFrame times:0,result=
00:00:56 297	 5 ImageProcess result=
00:00:56 305	7 finish getImage
00:00:56 728	 1:start getImage
00:00:56 732	 2 getImage times:0
00:00:56 736	3  GrabFrame times:0,result=
00:00:56 744	 5 ImageProcess result=
00:00:56 754	7 finish getImage
00:00:56 760	 1:start getImage
00:00:56 766	 2 getImage times:0
00:00:56 770	3  GrabFrame times:0,result=
00:00:56 778	 5 ImageProcess result=
00:00:56 784	7 finish getImage
00:00:57 210	 1:start getImage
00:00:57 214	 2 getImage times:0
00:00:57 218	3  GrabFrame times:0,result=
00:00:57 226	 5 ImageProcess result=
00:00:57 236	7 finish getImage
00:00:57 242	 1:start getImage
00:00:57 246	 2 getImage times:0
00:00:57 250	3  GrabFrame times:0,result=
00:00:57 260	 5 ImageProcess result=
00:00:57 266	7 finish getImage
00:00:57 694	 1:start getImage
00:00:57 698	 2 getImage times:0
00:00:57 702	3  GrabFrame times:0,result=
00:00:57 714	 5 ImageProcess result=
00:00:57 722	7 finish getImage
00:00:57 728	 1:start getImage
00:00:57 732	 2 getImage times:0
00:00:57 736	3  GrabFrame times:0,result=
00:00:57 744	 5 ImageProcess result=
00:00:57 752	7 finish getImage
00:00:58 180	 1:start getImage
00:00:58 184	 2 getImage times:0
00:00:58 190	3  GrabFrame times:0,result=
00:00:58 202	 5 ImageProcess result=
00:00:58 208	7 finish getImage
00:00:58 214	 1:start getImage
00:00:58 218	 2 getImage times:0
00:00:58 228	3  GrabFrame times:0,result=
