00:02:50 273	3  GrabFrame times:0,result=
00:02:50 279	 5 ImageProcess result=
00:02:50 282	7 finish getImage
00:02:50 283	 1:start getImage
00:02:50 284	 2 getImage times:0
00:02:50 294	3  GrabFrame times:0,result=
00:02:50 299	 5 ImageProcess result=
00:02:50 303	7 finish getImage
00:02:50 794	 1:start getImage
00:02:50 794	 2 getImage times:0
00:02:50 795	3  GrabFrame times:0,result=
00:02:50 800	 5 ImageProcess result=
00:02:50 804	7 finish getImage
00:02:50 805	 1:start getImage
00:02:50 805	 2 getImage times:0
00:02:50 815	3  GrabFrame times:0,result=
00:02:50 820	 5 ImageProcess result=
00:02:50 824	7 finish getImage
00:02:51 313	 1:start getImage
00:02:51 314	 2 getImage times:0
00:02:51 314	3  GrabFrame times:0,result=
00:02:51 320	 5 ImageProcess result=
00:02:51 323	7 finish getImage
00:02:51 325	 1:start getImage
00:02:51 325	 2 getImage times:0
00:02:51 335	3  GrabFrame times:0,result=
00:02:51 340	 5 ImageProcess result=
00:02:51 343	7 finish getImage
00:02:51 833	 1:start getImage
00:02:51 834	 2 getImage times:0
00:02:51 834	3  GrabFrame times:0,result=
00:02:51 839	 5 ImageProcess result=
00:02:51 843	7 finish getImage
00:02:51 844	 1:start getImage
00:02:51 844	 2 getImage times:0
00:02:51 854	3  GrabFrame times:0,result=
00:02:51 859	 5 ImageProcess result=
00:02:51 863	7 finish getImage
00:02:52 353	 1:start getImage
00:02:52 354	 2 getImage times:0
00:02:52 355	3  GrabFrame times:0,result=
00:02:52 360	 5 ImageProcess result=
00:02:52 363	7 finish getImage
00:02:52 364	 1:start getImage
00:02:52 365	 2 getImage times:0
00:02:52 374	3  GrabFrame times:0,result=
00:02:52 379	 5 ImageProcess result=
00:02:52 383	7 finish getImage
00:02:52 878	 1:start getImage
00:02:52 879	 2 getImage times:0
00:02:52 879	3  GrabFrame times:0,result=
00:02:52 885	 5 ImageProcess result=
00:02:52 888	7 finish getImage
00:02:52 889	 1:start getImage
00:02:52 890	 2 getImage times:0
00:02:52 894	3  GrabFrame times:0,result=
00:02:52 899	 5 ImageProcess result=
00:02:52 903	7 finish getImage
00:02:53 392	 1:start getImage
00:02:53 392	 2 getImage times:0
00:02:53 393	3  GrabFrame times:0,result=
00:02:53 399	 5 ImageProcess result=
00:02:53 402	7 finish getImage
00:02:53 403	 1:start getImage
00:02:53 404	 2 getImage times:0
00:02:53 413	3  GrabFrame times:0,result=
00:02:53 418	 5 ImageProcess result=
00:02:53 422	7 finish getImage
00:02:56 055	 1:start getImage
00:02:56 055	 2 getImage times:0
00:02:56 056	3  GrabFrame times:0,result=
00:02:56 061	 5 ImageProcess result=
00:02:56 065	7 finish getImage
00:02:56 066	 1:start getImage
00:02:56 067	 2 getImage times:0
00:02:56 093	3  GrabFrame times:0,result=
00:02:56 098	 5 ImageProcess result=
00:02:56 101	7 finish getImage
00:02:56 736	 1:start getImage
00:02:56 736	 2 getImage times:0
00:02:56 737	3  GrabFrame times:0,result=
00:02:56 742	 5 ImageProcess result=
00:02:56 745	7 finish getImage
00:02:56 747	 1:start getImage
00:02:56 747	 2 getImage times:0
00:02:56 773	3  GrabFrame times:0,result=
00:02:56 778	 5 ImageProcess result=
00:02:56 781	7 finish getImage
00:02:57 584	 1:start getImage
00:02:57 584	 2 getImage times:0
00:02:57 585	3  GrabFrame times:0,result=
00:02:57 591	 5 ImageProcess result=
00:02:57 594	7 finish getImage
